Oscilloscope data. 
Time step = 5,000 uS
Voltage step = 31,25 mV
Zero level = 128

N 	Smpl.	Trig

0	128	0
1	128	0
2	128	0
3	128	0
4	128	0
5	128	0
6	128	0
7	128	0
8	128	0
9	128	0
10	128	0
11	128	0
12	128	0
13	128	0
14	128	0
15	128	0
16	128	0
17	128	0
18	128	0
19	128	0
20	128	0
21	128	0
22	128	0
23	128	0
24	129	0
25	128	0
26	128	0
27	128	0
28	128	0
29	128	0
30	128	0
31	128	0
32	128	0
33	129	0
34	128	0
35	128	0
36	128	0
37	128	0
38	128	0
39	128	0
40	128	0
41	128	0
42	128	0
43	128	0
44	128	0
45	128	0
46	129	0
47	128	0
48	128	0
49	128	0
50	128	0
51	128	0
52	128	0
53	128	0
54	128	0
55	128	0
56	128	0
57	128	0
58	128	0
59	129	0
60	129	0
61	128	0
62	128	0
63	129	0
64	128	0
65	128	0
66	128	0
67	128	0
68	128	0
69	128	0
70	129	0
71	128	0
72	128	0
73	128	0
74	128	0
75	128	0
76	128	0
77	128	0
78	128	0
79	128	0
80	128	0
81	128	0
82	128	0
83	128	0
84	128	0
85	128	0
86	129	0
87	128	0
88	128	0
89	128	0
90	128	0
91	128	0
92	128	0
93	128	0
94	128	0
95	128	0
96	128	0
97	129	0
98	128	0
99	128	0
100	128	0
101	128	0
102	128	0
103	128	0
104	128	0
105	127	0
106	128	0
107	127	0
108	127	0
109	126	0
110	124	0
111	123	0
112	122	0
113	121	0
114	120	0
115	119	0
116	118	0
117	115	0
118	115	0
119	112	0
120	111	0
121	108	0
122	107	0
123	104	0
124	103	0
125	100	0
126	98	0
127	96	0
128	94	0
129	91	0
130	89	0
131	87	0
132	85	0
133	83	0
134	82	0
135	80	0
136	78	0
137	76	0
138	75	0
139	74	0
140	74	0
141	73	0
142	73	0
143	73	0
144	73	0
145	74	0
146	75	0
147	77	0
148	79	0
149	81	0
150	85	0
151	87	0
152	91	0
153	95	0
154	99	0
155	105	0
156	110	0
157	116	0
158	122	0
159	128	0
160	135	0
161	141	0
162	148	0
163	155	0
164	161	0
165	167	0
166	173	0
167	179	0
168	184	0
169	189	0
170	193	0
171	196	0
172	199	0
173	200	0
174	201	0
175	200	0
176	199	0
177	195	0
178	192	0
179	187	0
180	181	0
181	175	0
182	167	0
183	159	0
184	150	0
185	141	0
186	132	0
187	123	0
188	114	0
189	105	0
190	96	0
191	89	0
192	84	0
193	79	0
194	75	0
195	73	0
196	73	0
197	74	0
198	78	0
199	83	0
200	89	0
201	97	0
202	107	0
203	117	0
204	128	0
205	140	0
206	151	0
207	163	0
208	172	0
209	181	0
210	189	0
211	195	0
212	199	0
213	201	0
214	199	0
215	196	0
216	191	0
217	182	0
218	173	0
219	161	0
220	148	0
221	135	0
222	122	0
223	109	0
224	97	0
225	87	0
226	80	0
227	75	0
228	73	0
229	74	0
230	78	0
231	84	0
232	95	0
233	107	0
234	119	0
235	135	0
236	149	0
237	164	0
238	176	0
239	187	0
240	195	0
241	200	0
242	200	0
243	197	0
244	191	0
245	180	0
246	168	0
247	153	0
248	136	0
249	120	0
250	105	0
251	91	0
252	82	0
253	75	0
254	73	0
255	75	0
256	81	0
257	92	0
258	107	0
259	123	0
260	140	0
261	157	0
262	173	0
263	187	0
264	196	0
265	200	0
266	200	0
267	194	0
268	183	0
269	168	0
270	151	0
271	132	0
272	115	0
273	98	0
274	84	0
275	76	0
276	73	0
277	76	0
278	84	0
279	97	0
280	115	0
281	134	0
282	154	0
283	172	0
284	187	0
285	196	0
286	201	0
287	198	0
288	188	0
289	174	0
290	155	0
291	134	0
292	113	0
293	95	0
294	82	0
295	74	0
296	73	0
297	80	0
298	93	0
299	112	0
300	133	0
301	155	0
302	175	0
303	190	0
304	199	0
305	200	0
306	193	0
307	179	0
308	160	0
309	137	0
310	115	0
311	95	0
312	80	0
313	73	0
314	75	0
315	84	0
316	102	0
317	123	0
318	148	0
319	171	0
320	188	0
321	199	0
322	200	0
323	192	0
324	176	0
325	154	0
326	129	0
327	106	0
328	87	0
329	75	0
330	73	0
331	81	0
332	98	0
333	121	0
334	147	0
335	171	0
336	189	0
337	200	0
338	199	0
339	188	0
340	167	0
341	143	0
342	116	0
343	93	0
344	79	0
345	73	0
346	79	0
347	95	0
348	119	0
349	147	0
350	172	0
351	191	0
352	200	0
353	197	0
354	182	0
355	158	0
356	131	0
357	103	0
358	83	0
359	73	0
360	75	0
361	90	0
362	115	0
363	143	0
364	171	0
365	191	0
366	200	0
367	196	0
368	180	0
369	153	0
370	124	0
371	97	0
372	79	0
373	73	0
374	81	0
375	101	0
376	129	0
377	159	0
378	184	0
379	199	0
380	199	0
381	184	0
382	158	0
383	127	0
384	99	0
385	79	0
