Oscilloscope data. 
Time step = 2,000 uS
Voltage step = 31,25 mV
Zero level = 128

N 	Smpl.	Trig

0	127	0
1	92	0
2	188	0
3	67	0
4	168	0
5	127	0
6	92	0
7	188	0
8	66	0
9	167	0
10	127	0
11	92	0
12	189	0
13	67	0
14	167	0
15	127	0
16	92	0
17	189	0
18	67	0
19	167	0
20	127	0
21	92	0
22	188	0
23	67	0
24	167	0
25	127	0
26	91	0
27	188	0
28	67	0
29	167	0
30	127	0
31	92	0
32	188	0
33	66	0
34	167	0
35	127	0
36	92	0
37	189	0
38	66	0
39	167	0
40	127	0
41	92	0
42	188	0
43	67	0
44	167	0
45	127	0
46	92	0
47	188	0
48	67	0
49	167	0
50	127	0
51	92	0
52	188	0
53	67	0
54	167	0
55	127	0
56	91	0
57	188	0
58	67	0
59	167	0
60	127	0
61	92	0
62	188	0
63	67	0
64	167	0
65	126	0
66	91	0
67	189	0
68	67	0
69	167	0
70	126	0
71	92	0
72	188	0
73	67	0
74	167	0
75	127	0
76	91	0
77	189	0
78	67	0
79	167	0
80	127	0
81	92	0
82	188	0
83	67	0
84	167	0
85	127	0
86	92	0
87	188	0
88	67	0
89	167	0
90	127	0
91	91	0
92	188	0
93	67	0
94	167	0
95	127	0
96	91	0
97	188	0
98	67	0
99	168	0
100	127	0
101	91	0
102	188	0
103	67	0
104	167	0
105	126	0
106	92	0
107	188	0
108	65	0
109	169	0
110	125	0
111	94	0
112	188	0
113	66	0
114	170	0
115	123	0
116	96	0
117	187	0
118	65	0
119	173	0
120	119	0
121	99	0
122	185	0
123	64	0
124	176	0
125	114	0
126	104	0
127	183	0
128	64	0
129	179	0
130	109	0
131	110	0
132	179	0
133	64	0
134	183	0
135	103	0
136	116	0
137	174	0
138	64	0
139	186	0
140	95	0
141	124	0
142	167	0
143	67	0
144	191	0
145	87	0
146	134	0
147	159	0
148	71	0
149	191	0
150	80	0
151	144	0
152	150	0
153	76	0
154	192	0
155	73	0
156	155	0
157	138	0
158	85	0
159	192	0
160	68	0
161	166	0
162	125	0
163	95	0
164	186	0
165	65	0
166	176	0
167	111	0
168	108	0
169	179	0
170	64	0
171	185	0
172	98	0
173	123	0
174	167	0
175	67	0
176	191	0
177	85	0
178	139	0
179	152	0
180	75	0
181	192	0
182	74	0
183	156	0
184	135	0
185	88	0
186	189	0
187	67	0
188	172	0
189	116	0
190	104	0
191	180	0
192	64	0
193	184	0
194	97	0
195	123	0
196	167	0
197	68	0
198	191	0
199	81	0
200	145	0
201	146	0
202	80	0
203	192	0
204	69	0
205	166	0
206	124	0
207	99	0
208	183	0
209	64	0
210	182	0
211	101	0
212	121	0
213	168	0
214	68	0
215	191	0
216	80	0
217	146	0
218	145	0
219	81	0
220	191	0
221	68	0
222	169	0
223	119	0
224	103	0
225	180	0
226	64	0
227	185	0
228	93	0
229	131	0
230	159	0
231	73	0
232	192	0
233	73	0
234	159	0
235	131	0
236	93	0
237	185	0
238	64	0
239	181	0
240	101	0
241	123	0
242	167	0
243	70	0
244	192	0
245	76	0
246	152	0
247	136	0
248	88	0
249	187	0
250	65	0
251	179	0
252	104	0
253	119	0
254	167	0
255	68	0
256	192	0
257	77	0
258	153	0
259	136	0
260	89	0
261	187	0
262	64	0
263	180	0
264	101	0
265	123	0
266	164	0
267	71	0
268	192	0
269	73	0
270	159	0
271	128	0
272	96	0
273	183	0
274	64	0
275	185	0
276	93	0
277	134	0
278	154	0
279	77	0
280	191	0
281	68	0
282	171	0
283	115	0
284	110	0
285	174	0
286	67	0
287	191	0
288	80	0
289	150	0
290	137	0
291	89	0
292	186	0
293	64	0
294	183	0
295	96	0
296	130	0
297	157	0
298	75	0
299	191	0
300	68	0
301	171	0
302	114	0
303	112	0
304	172	0
305	68	0
306	191	0
307	77	0
308	156	0
309	129	0
310	96	0
311	182	0
