Oscilloscope data. 
Time step = 500,0 nS
Voltage step = 31,25 mV
Zero level = 128

N 	Smpl.	Trig

0	190	0
1	184	0
2	147	0
3	97	0
4	67	0
5	71	0
6	110	0
7	159	0
8	189	0
9	184	0
10	147	0
11	98	0
12	67	0
13	72	0
14	110	0
15	159	0
16	190	0
17	185	0
18	147	0
19	98	0
20	67	0
21	72	0
22	111	0
23	158	0
24	190	0
25	185	0
26	147	0
27	98	0
28	67	0
29	72	0
30	111	0
31	158	0
32	190	0
33	185	0
34	147	0
35	98	0
36	67	0
37	72	0
38	110	0
39	159	0
40	190	0
41	184	0
42	146	0
43	97	0
44	67	0
45	72	0
46	110	0
47	159	0
48	190	0
49	184	0
50	147	0
51	98	0
52	67	0
53	72	0
54	110	0
55	159	0
56	189	0
57	184	0
58	146	0
59	98	0
60	67	0
61	72	0
62	111	0
63	158	0
64	189	0
65	184	0
66	146	0
67	98	0
68	67	0
69	71	0
70	111	0
71	158	0
72	189	0
73	184	0
74	147	0
75	98	0
76	67	0
77	72	0
78	110	0
79	158	0
80	189	0
81	184	0
82	147	0
83	98	0
84	67	0
85	71	0
86	111	0
87	159	0
88	189	0
89	184	0
90	147	0
91	98	0
92	67	0
93	72	0
94	111	0
95	159	0
96	189	0
97	185	0
98	146	0
99	98	0
100	67	0
101	72	0
102	110	0
103	159	0
104	189	0
105	184	0
106	146	0
107	98	0
108	67	0
109	72	0
110	111	0
111	159	0
112	190	0
113	184	0
114	145	0
115	97	0
116	66	0
117	73	0
118	111	0
119	160	0
120	191	0
121	183	0
122	144	0
123	95	0
124	66	0
125	73	0
126	113	0
127	161	0
128	191	0
129	183	0
130	143	0
131	93	0
132	65	0
133	75	0
134	115	0
135	164	0
136	191	0
137	181	0
138	139	0
139	92	0
140	65	0
141	76	0
142	119	0
143	167	0
144	192	0
145	179	0
146	135	0
147	87	0
148	64	0
149	79	0
150	123	0
151	171	0
152	192	0
153	176	0
154	131	0
155	85	0
156	64	0
157	81	0
158	127	0
159	173	0
160	192	0
161	173	0
162	127	0
163	81	0
164	64	0
165	86	0
166	132	0
167	177	0
168	192	0
169	168	0
170	120	0
171	77	0
172	65	0
173	91	0
174	139	0
175	181	0
176	191	0
177	164	0
178	115	0
179	74	0
180	66	0
181	96	0
182	145	0
183	184	0
184	190	0
185	157	0
186	108	0
187	71	0
188	68	0
189	103	0
190	152	0
191	187	0
192	187	0
193	150	0
194	100	0
195	67	0
196	71	0
197	111	0
198	160	0
199	191	0
200	183	0
201	142	0
202	93	0
203	65	0
204	76	0
205	119	0
206	167	0
207	192	0
208	177	0
209	132	0
210	86	0
211	64	0
212	82	0
213	128	0
214	175	0
215	192	0
216	171	0
217	123	0
218	78	0
219	64	0
220	89	0
221	139	0
222	181	0
223	192	0
224	162	0
225	112	0
226	72	0
227	67	0
228	100	0
229	149	0
230	187	0
231	188	0
232	152	0
233	101	0
234	68	0
235	71	0
236	110	0
237	160	0
238	191	0
239	182	0
240	140	0
241	90	0
242	64	0
243	78	0
244	123	0
245	170	0
246	192	0
247	175	0
248	127	0
249	81	0
250	64	0
251	87	0
252	135	0
253	179	0
254	191	0
255	164	0
256	115	0
257	73	0
258	66	0
259	99	0
260	148	0
261	186	0
262	187	0
263	151	0
264	101	0
265	67	0
266	72	0
267	112	0
268	161	0
269	191	0
270	181	0
271	138	0
272	88	0
273	64	0
274	80	0
275	127	0
