Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 128

N 	Smpl.	Trig

0	64	0
1	90	0
2	144	0
3	186	0
4	187	0
5	145	0
6	91	0
7	65	0
8	84	0
9	135	0
10	182	0
11	190	0
12	153	0
13	99	0
14	65	0
15	79	0
16	128	0
17	177	0
18	191	0
19	159	0
20	106	0
21	67	0
22	74	0
23	119	0
24	171	0
25	192	0
26	167	0
27	113	0
28	71	0
29	70	0
30	111	0
31	165	0
32	192	0
33	173	0
34	121	0
35	75	0
36	67	0
37	104	0
38	159	0
39	191	0
40	179	0
41	129	0
42	79	0
43	65	0
44	97	0
45	151	0
46	189	0
47	183	0
48	137	0
49	85	0
50	64	0
51	91	0
52	144	0
53	186	0
54	187	0
55	145	0
56	91	0
57	64	0
58	84	0
59	135	0
60	182	0
61	190	0
62	152	0
63	99	0
64	65	0
65	79	0
66	127	0
67	177	0
68	191	0
69	159	0
70	106	0
71	68	0
72	74	0
73	120	0
74	171	0
75	193	0
76	167	0
77	113	0
78	71	0
79	70	0
80	111	0
81	165	0
82	192	0
83	172	0
84	121	0
85	75	0
86	67	0
87	104	0
88	159	0
89	191	0
90	178	0
91	128	0
92	80	0
93	65	0
94	97	0
95	151	0
96	189	0
97	183	0
98	137	0
99	85	0
100	64	0
101	90	0
102	144	0
103	185	0
104	187	0
105	145	0
106	91	0
107	64	0
108	84	0
109	136	0
110	182	0
111	189	0
112	152	0
113	99	0
114	66	0
115	79	0
116	128	0
117	177	0
118	191	0
119	159	0
120	106	0
121	67	0
122	74	0
123	120	0
124	172	0
125	192	0
126	167	0
127	113	0
128	71	0
129	70	0
130	111	0
131	165	0
132	192	0
133	172	0
134	121	0
135	75	0
136	67	0
137	104	0
138	159	0
139	191	0
140	179	0
141	129	0
142	79	0
143	65	0
144	97	0
145	151	0
146	189	0
147	183	0
148	136	0
149	85	0
150	64	0
151	90	0
152	144	0
153	186	0
154	187	0
155	145	0
156	91	0
157	64	0
158	84	0
159	136	0
160	182	0
161	189	0
162	152	0
163	99	0
164	66	0
165	79	0
166	128	0
167	177	0
168	192	0
169	159	0
170	105	0
171	67	0
172	74	0
173	120	0
174	172	0
175	192	0
176	167	0
177	113	0
178	70	0
179	71	0
180	112	0
181	165	0
182	192	0
183	172	0
184	121	0
185	75	0
186	67	0
187	104	0
188	159	0
189	191	0
190	179	0
191	129	0
192	79	0
193	64	0
194	97	0
195	151	0
196	189	0
197	183	0
198	137	0
199	85	0
200	64	0
201	90	0
202	144	0
203	185	0
204	187	0
205	145	0
206	91	0
207	64	0
208	84	0
209	135	0
210	182	0
211	190	0
212	152	0
213	99	0
214	65	0
215	79	0
216	128	0
217	177	0
218	191	0
219	159	0
220	106	0
221	68	0
222	75	0
223	120	0
224	171	0
225	193	0
226	166	0
227	112	0
228	71	0
229	70	0
230	112	0
231	165	0
232	192	0
233	173	0
234	121	0
235	75	0
236	67	0
237	104	0
238	159	0
239	191	0
240	178	0
241	129	0
242	79	0
243	65	0
244	97	0
245	151	0
246	189	0
247	183	0
248	137	0
249	85	0
250	64	0
251	90	0
252	144	0
253	185	0
254	187	0
255	145	0
256	91	0
257	64	0
258	84	0
259	135	0
260	182	0
261	190	0
262	152	0
263	98	0
264	65	0
265	79	0
266	128	0
267	177	0
268	191	0
269	160	0
270	106	0
271	67	0
272	74	0
273	119	0
274	172	0
275	192	0
276	167	0
277	113	0
278	70	0
279	70	0
280	111	0
281	165	0
282	192	0
283	173	0
284	121	0
285	75	0
286	67	0
287	104	0
288	159	0
289	191	0
290	179	0
291	129	0
292	79	0
293	65	0
294	97	0
295	151	0
296	189	0
297	183	0
298	137	0
299	85	0
300	64	0
301	90	0
302	143	0
303	185	0
304	187	0
305	145	0
306	91	0
307	64	0
308	84	0
309	136	0
310	182	0
311	189	0
312	152	0
313	99	0
314	66	0
315	79	0
316	127	0
317	177	0
318	192	0
319	159	0
320	105	0
321	67	0
322	74	0
323	119	0
324	172	0
325	192	0
326	167	0
327	113	0
328	71	0
329	70	0
330	111	0
331	165	0
332	192	0
333	173	0
334	121	0
335	75	0
336	67	0
337	104	0
338	159	0
339	191	0
340	179	0
341	129	0
342	80	0
343	66	0
344	97	0
345	151	0
346	189	0
347	183	0
348	136	0
349	86	0
350	65	0
351	90	0
352	144	0
353	185	0
354	187	0
355	145	0
356	91	0
357	64	0
358	84	0
359	136	0
360	182	0
361	190	0
362	152	0
363	99	0
364	65	0
365	79	0
366	127	0
367	177	0
368	191	0
369	159	0
370	105	0
371	67	0
372	75	0
373	119	0
374	172	0
375	192	0
376	167	0
377	113	0
378	70	0
379	71	0
380	112	0
381	166	0
382	192	0
383	172	0
384	122	0
385	75	0
386	67	0
387	104	0
388	159	0
389	191	0
390	179	0
391	129	0
392	79	0
393	65	0
394	97	0
395	151	0
396	189	0
397	183	0
398	137	0
399	85	0
400	64	0
401	90	0
402	143	0
403	185	0
404	187	0
405	145	0
406	91	0
407	64	0
408	84	0
409	135	0
410	182	0
411	189	0
412	152	0
413	98	0
414	65	0
415	78	0
416	127	0
417	177	0
418	191	0
419	159	0
420	106	0
421	68	0
422	74	0
423	119	0
424	171	0
425	192	0
426	167	0
427	113	0
428	71	0
429	70	0
430	111	0
431	166	0
432	192	0
433	172	0
434	121	0
435	75	0
436	67	0
437	104	0
438	159	0
439	191	0
440	179	0
441	129	0
442	80	0
443	65	0
444	97	0
445	151	0
446	189	0
447	183	0
448	136	0
449	85	0
450	64	0
451	90	0
452	144	0
453	186	0
454	187	0
455	145	0
