Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 128

N 	Smpl.	Trig

0	64	0
1	88	0
2	141	0
3	184	0
4	188	0
5	148	0
6	93	0
7	65	0
8	82	0
9	133	0
10	180	0
11	191	0
12	155	0
13	100	0
14	66	0
15	77	0
16	125	0
17	175	0
18	192	0
19	163	0
20	108	0
21	68	0
22	72	0
23	117	0
24	169	0
25	193	0
26	169	0
27	116	0
28	72	0
29	69	0
30	110	0
31	163	0
32	193	0
33	175	0
34	123	0
35	76	0
36	67	0
37	102	0
38	156	0
39	191	0
40	180	0
41	132	0
42	81	0
43	64	0
44	95	0
45	149	0
46	187	0
47	184	0
48	140	0
49	87	0
50	64	0
51	88	0
52	141	0
53	185	0
54	187	0
55	147	0
56	94	0
57	65	0
58	83	0
59	133	0
60	180	0
61	191	0
62	155	0
63	100	0
64	67	0
65	77	0
66	124	0
67	175	0
68	192	0
69	162	0
70	108	0
71	68	0
72	72	0
73	116	0
74	169	0
75	192	0
76	169	0
77	116	0
78	72	0
79	69	0
80	109	0
81	163	0
82	192	0
83	175	0
84	123	0
85	76	0
86	66	0
87	102	0
88	156	0
89	191	0
90	180	0
91	132	0
92	81	0
93	64	0
94	95	0
95	148	0
96	188	0
97	184	0
98	140	0
99	87	0
100	65	0
101	87	0
102	141	0
103	184	0
104	187	0
105	148	0
106	93	0
107	65	0
108	83	0
109	133	0
110	181	0
111	191	0
112	155	0
113	101	0
114	67	0
115	77	0
116	125	0
117	175	0
118	192	0
119	162	0
120	108	0
121	69	0
122	72	0
123	117	0
124	169	0
125	192	0
126	169	0
127	116	0
128	72	0
129	69	0
130	110	0
131	163	0
132	192	0
133	175	0
134	123	0
135	76	0
136	67	0
137	101	0
138	155	0
139	190	0
140	180	0
141	132	0
142	81	0
143	65	0
144	95	0
145	148	0
146	188	0
147	184	0
148	140	0
149	87	0
150	64	0
151	88	0
152	141	0
153	184	0
154	187	0
155	147	0
156	94	0
157	64	0
158	83	0
159	133	0
160	181	0
161	191	0
162	155	0
163	101	0
164	66	0
165	77	0
166	125	0
167	175	0
168	192	0
169	163	0
170	108	0
171	68	0
172	72	0
173	116	0
174	169	0
175	192	0
176	169	0
177	115	0
178	72	0
179	69	0
180	109	0
181	163	0
182	192	0
183	175	0
184	124	0
185	76	0
186	67	0
187	101	0
188	156	0
189	191	0
190	180	0
191	132	0
192	81	0
193	64	0
194	95	0
195	148	0
196	188	0
197	184	0
198	141	0
199	87	0
200	64	0
201	88	0
202	141	0
203	184	0
204	187	0
205	147	0
206	94	0
207	64	0
208	83	0
209	133	0
210	181	0
211	191	0
212	155	0
213	100	0
214	66	0
215	76	0
216	125	0
217	175	0
218	192	0
219	162	0
220	108	0
221	69	0
222	73	0
223	117	0
224	170	0
225	192	0
226	169	0
227	115	0
228	72	0
229	69	0
230	110	0
231	163	0
232	192	0
233	175	0
234	124	0
235	76	0
236	66	0
237	101	0
238	156	0
239	191	0
240	180	0
241	132	0
242	81	0
243	65	0
244	95	0
245	148	0
246	187	0
247	184	0
248	140	0
249	87	0
250	65	0
251	88	0
252	141	0
253	184	0
254	187	0
255	148	0
256	94	0
257	64	0
258	82	0
259	133	0
260	180	0
261	191	0
262	155	0
263	101	0
264	66	0
265	76	0
266	125	0
267	175	0
268	192	0
269	162	0
270	108	0
271	68	0
272	72	0
273	117	0
274	169	0
275	192	0
276	169	0
277	115	0
278	72	0
279	69	0
280	109	0
281	163	0
282	193	0
283	175	0
284	124	0
285	76	0
286	67	0
287	101	0
288	155	0
289	191	0
290	180	0
291	132	0
292	81	0
293	65	0
294	95	0
295	148	0
296	188	0
297	184	0
298	140	0
299	87	0
300	64	0
301	88	0
302	141	0
303	185	0
304	188	0
305	147	0
306	93	0
307	64	0
308	83	0
309	133	0
310	181	0
311	191	0
312	155	0
313	101	0
314	66	0
315	77	0
316	125	0
317	175	0
318	192	0
319	163	0
320	108	0
321	68	0
322	72	0
323	116	0
324	169	0
325	192	0
326	169	0
327	116	0
328	72	0
329	69	0
330	109	0
331	163	0
332	192	0
333	175	0
334	124	0
335	76	0
336	67	0
337	101	0
338	155	0
339	191	0
340	180	0
341	132	0
342	82	0
343	65	0
344	95	0
345	148	0
346	188	0
347	184	0
348	140	0
349	87	0
350	64	0
351	88	0
352	140	0
353	184	0
354	188	0
355	148	0
356	94	0
357	65	0
358	82	0
359	132	0
360	180	0
361	191	0
362	155	0
363	101	0
364	66	0
365	77	0
366	124	0
367	175	0
368	192	0
369	162	0
370	108	0
371	68	0
372	72	0
373	116	0
374	169	0
375	192	0
376	169	0
377	115	0
378	72	0
379	69	0
380	109	0
381	163	0
382	192	0
383	175	0
384	124	0
385	76	0
386	67	0
387	101	0
388	156	0
389	191	0
390	180	0
391	132	0
392	81	0
393	64	0
394	95	0
395	148	0
396	188	0
397	184	0
398	140	0
399	87	0
400	64	0
401	88	0
402	141	0
403	184	0
404	188	0
405	148	0
406	94	0
407	65	0
408	83	0
409	132	0
410	180	0
411	191	0
412	155	0
413	101	0
414	66	0
415	76	0
416	124	0
417	175	0
418	192	0
419	162	0
420	108	0
421	68	0
422	72	0
423	117	0
424	169	0
425	192	0
426	168	0
427	116	0
428	72	0
429	68	0
430	109	0
431	163	0
432	192	0
433	175	0
434	124	0
435	76	0
436	66	0
437	101	0
438	155	0
439	191	0
440	180	0
441	132	0
442	81	0
443	64	0
444	95	0
445	148	0
446	188	0
447	184	0
448	140	0
449	87	0
450	64	0
451	88	0
452	141	0
453	184	0
454	187	0
455	147	0
