Oscilloscope data. 
Time step = 10,00 uS
Voltage step = 31,25 mV
Zero level = 128

N 	Smpl.	Trig

0	128	0
1	128	0
2	128	0
3	128	0
4	128	0
5	128	0
6	128	0
7	128	0
8	128	0
9	128	0
10	128	0
11	128	0
12	128	0
13	127	0
14	128	0
15	128	0
16	128	0
17	128	0
18	129	0
19	128	0
20	128	0
21	128	0
22	128	0
23	128	0
24	128	0
25	128	0
26	128	0
27	128	0
28	128	0
29	128	0
30	128	0
31	128	0
32	128	0
33	128	0
34	128	0
35	128	0
36	128	0
37	128	0
38	128	0
39	128	0
40	128	0
41	128	0
42	128	0
43	127	0
44	128	0
45	128	0
46	127	0
47	128	0
48	127	0
49	128	0
50	128	0
51	127	0
52	128	0
53	128	0
54	127	0
55	127	0
56	128	0
57	128	0
58	128	0
59	128	0
60	128	0
61	127	0
62	128	0
63	128	0
64	128	0
65	128	0
66	128	0
67	128	0
68	128	0
69	128	0
70	128	0
71	128	0
72	128	0
73	128	0
74	128	0
75	128	0
76	128	0
77	128	0
78	128	0
79	128	0
80	128	0
81	128	0
82	128	0
83	128	0
84	128	0
85	128	0
86	128	0
87	128	0
88	128	0
89	129	0
90	128	0
91	128	0
92	127	0
93	128	0
94	128	0
95	128	0
96	128	0
97	128	0
98	128	0
99	128	0
100	128	0
101	128	0
102	128	0
103	128	0
104	128	0
105	129	0
106	131	0
107	132	0
108	133	0
109	134	0
110	136	0
111	138	0
112	140	0
113	143	0
114	145	0
115	148	0
116	151	0
117	155	0
118	159	0
119	162	0
120	165	0
121	168	0
122	173	0
123	177	0
124	180	0
125	184	0
126	187	0
127	191	0
128	194	0
129	196	0
130	198	0
131	200	0
132	201	0
133	202	0
134	202	0
135	200	0
136	198	0
137	195	0
138	190	0
139	185	0
140	179	0
141	172	0
142	164	0
143	155	0
144	147	0
145	137	0
146	127	0
147	118	0
148	108	0
149	99	0
150	91	0
151	85	0
152	80	0
153	75	0
154	75	0
155	75	0
156	77	0
157	82	0
158	89	0
159	98	0
160	109	0
161	121	0
162	135	0
163	148	0
164	161	0
165	174	0
166	184	0
167	193	0
168	199	0
169	202	0
170	200	0
171	196	0
172	189	0
173	176	0
174	163	0
175	147	0
176	131	0
177	115	0
178	99	0
179	87	0
180	79	0
181	75	0
182	75	0
183	80	0
184	90	0
185	104	0
186	121	0
187	140	0
188	159	0
189	176	0
190	190	0
191	199	0
192	201	0
193	199	0
194	189	0
195	174	0
196	155	0
197	134	0
198	113	0
199	96	0
200	81	0
201	75	0
202	75	0
203	83	0
204	98	0
205	119	0
206	141	0
207	164	0
208	183	0
209	196	0
210	202	0
211	198	0
212	185	0
213	165	0
214	141	0
215	116	0
216	95	0
217	80	0
218	74	0
219	79	0
220	93	0
221	115	0
222	141	0
223	167	0
224	187	0
225	199	0
226	200	0
227	189	0
228	168	0
229	141	0
230	113	0
231	90	0
232	76	0
233	75	0
234	86	0
235	109	0
236	138	0
237	167	0
238	190	0
239	201	0
240	199	0
241	181	0
242	154	0
243	123	0
244	96	0
245	78	0
246	75	0
247	87	0
248	113	0
249	144	0
250	176	0
251	196	0
252	202	0
253	189	0
254	163	0
255	129	0
256	99	0
257	78	0
258	75	0
259	90	0
260	119	0
261	155	0
262	184	0
263	200	0
264	197	0
265	175	0
266	141	0
267	106	0
268	81	0
269	75	0
270	88	0
271	120	0
272	157	0
273	188	0
274	201	0
275	192	0
276	163	0
277	125	0
278	91	0
279	75	0
280	81	0
281	109	0
282	147	0
283	183	0
284	201	0
285	195	0
286	164	0
287	124	0
288	89	0
289	73	0
290	85	0
291	118	0
292	159	0
293	193	0
294	201	0
295	183	0
296	144	0
297	103	0
298	77	0
299	79	0
300	107	0
301	150	0
302	187	0
303	202	0
304	185	0
305	147	0
306	103	0
307	76	0
308	79	0
309	113	0
310	158	0
311	193	0
312	200	0
313	175	0
314	131	0
315	89	0
316	74	0
317	91	0
318	135	0
319	180	0
320	201	0
321	188	0
322	146	0
323	99	0
324	75	0
325	86	0
326	127	0
327	175	0
328	200	0
329	189	0
330	146	0
331	99	0
332	75	0
333	88	0
334	133	0
335	181	0
336	201	0
337	181	0
338	133	0
339	87	0
340	75	0
341	103	0
342	154	0
343	195	0
344	197	0
345	159	0
346	107	0
347	75	0
348	87	0
349	133	0
350	183	0
351	202	0
352	174	0
353	120	0
354	79	0
355	81	0
356	124	0
357	178	0
358	202	0
359	178	0
360	124	0
361	80	0
362	80	0
363	125	0
364	180	0
365	201	0
366	172	0
367	116	0
368	76	0
369	85	0
370	137	0
371	189	0
372	198	0
373	157	0
374	99	0
375	74	0
376	101	0
377	160	0
378	200	0
379	187	0
380	130	0
381	81	0
382	81	0
383	132	0
384	187	0
385	199	0
