Oscilloscope data. 
Time step = 50,00 nS
Voltage step = 31,25 mV
Zero level = 128

N 	Smpl.	Trig

0	86	0
1	86	0
2	86	0
3	85	0
4	85	0
5	85	0
6	85	0
7	86	0
8	85	0
9	87	0
10	86	0
11	85	0
12	85	0
13	86	0
14	85	0
15	86	0
16	86	0
17	86	0
18	86	0
19	85	0
20	86	0
21	86	0
22	86	0
23	86	0
24	86	0
25	85	0
26	85	0
27	218	0
28	214	0
29	214	0
30	214	0
31	214	0
32	214	0
33	214	0
34	214	0
35	214	0
36	213	0
37	214	0
38	214	0
39	214	0
40	214	0
41	213	0
42	213	0
43	214	0
44	214	0
45	214	0
46	214	0
47	214	0
48	214	0
49	214	0
50	214	0
51	214	0
52	214	0
53	214	0
54	214	0
55	214	0
56	214	0
57	214	0
58	213	0
59	214	0
60	214	0
61	214	0
62	214	0
63	213	0
64	213	0
65	214	0
66	214	0
67	214	0
68	214	0
69	214	0
70	214	0
71	214	0
72	214	0
73	214	0
74	214	0
75	214	0
76	213	0
77	214	0
78	214	0
79	214	0
80	214	0
81	213	0
82	213	0
83	214	0
84	213	0
85	214	0
86	214	0
87	80	0
88	85	0
89	85	0
90	86	0
91	85	0
92	85	0
93	86	0
94	86	0
95	85	0
96	85	0
97	85	0
98	85	0
99	86	0
100	86	0
101	85	0
102	85	0
103	86	0
104	86	0
105	85	0
106	85	0
107	85	0
108	86	0
109	86	0
110	85	0
111	85	0
112	86	0
113	85	0
114	86	0
115	85	0
116	85	0
117	85	0
118	86	0
119	86	0
120	86	0
121	86	0
122	85	0
123	85	0
124	86	0
125	85	0
126	85	0
127	85	0
128	85	0
129	86	0
130	86	0
131	86	0
132	86	0
133	86	0
134	85	0
135	85	0
136	86	0
137	86	0
138	85	0
139	85	0
140	86	0
141	85	0
142	85	0
143	86	0
144	85	0
145	86	0
146	85	0
147	86	0
148	86	0
149	85	0
150	85	0
151	86	0
152	86	0
153	86	0
154	85	0
155	86	0
156	85	0
157	86	0
158	85	0
159	86	0
160	86	0
161	85	0
162	86	0
163	85	0
164	85	0
165	85	0
166	85	0
167	86	0
168	86	0
169	86	0
170	85	0
171	86	0
172	86	0
173	86	0
174	86	0
175	85	0
176	86	0
177	86	0
178	86	0
179	86	0
180	86	0
181	86	0
182	86	0
183	85	0
184	86	0
185	86	0
186	86	0
187	86	0
188	85	0
189	85	0
190	85	0
191	86	0
192	85	0
193	85	0
194	85	0
195	86	0
196	86	0
197	85	0
198	85	0
199	86	0
200	86	0
201	86	0
202	85	0
203	85	0
204	86	0
205	86	0
206	86	0
207	219	0
208	214	0
209	214	0
210	215	0
211	214	0
212	214	0
213	214	0
214	214	0
215	213	0
216	213	0
217	214	0
218	214	0
219	214	0
220	214	0
221	214	0
222	214	0
223	214	0
224	214	0
225	213	0
226	214	0
227	214	0
228	214	0
229	214	0
230	213	0
231	214	0
232	213	0
233	214	0
234	214	0
235	214	0
236	213	0
237	214	0
238	213	0
239	214	0
240	213	0
241	214	0
242	213	0
243	213	0
244	214	0
245	213	0
246	213	0
247	213	0
248	214	0
249	214	0
250	213	0
251	213	0
252	214	0
253	214	0
254	214	0
255	214	0
256	214	0
257	214	0
258	213	0
259	213	0
260	214	0
261	214	0
262	214	0
263	214	0
264	213	0
265	214	0
266	214	0
267	80	0
268	86	0
269	86	0
270	86	0
271	86	0
272	85	0
273	86	0
274	85	0
275	86	0
276	86	0
277	86	0
278	86	0
279	86	0
280	86	0
281	85	0
282	86	0
283	86	0
284	86	0
285	85	0
286	86	0
287	86	0
288	86	0
289	85	0
290	85	0
291	85	0
292	85	0
293	86	0
294	86	0
295	85	0
296	85	0
297	85	0
298	86	0
299	85	0
300	85	0
301	85	0
302	86	0
303	85	0
304	86	0
305	86	0
306	86	0
307	86	0
308	86	0
309	86	0
310	85	0
311	86	0
312	86	0
313	86	0
314	85	0
315	86	0
316	85	0
317	85	0
318	86	0
319	86	0
320	86	0
321	85	0
322	85	0
323	85	0
324	86	0
325	86	0
326	85	0
327	85	0
328	85	0
329	85	0
330	85	0
331	85	0
332	86	0
333	86	0
334	85	0
335	85	0
336	85	0
337	86	0
338	86	0
339	85	0
340	86	0
341	86	0
342	85	0
343	85	0
344	86	0
345	85	0
346	85	0
347	86	0
348	86	0
349	86	0
350	85	0
351	85	0
352	86	0
353	85	0
354	86	0
355	85	0
356	86	0
357	85	0
358	86	0
359	85	0
360	86	0
361	85	0
362	85	0
363	85	0
364	85	0
365	86	0
366	85	0
367	85	0
368	85	0
369	86	0
370	85	0
371	86	0
372	86	0
373	86	0
374	85	0
375	85	0
376	86	0
377	86	0
378	86	0
379	85	0
380	85	0
381	86	0
382	86	0
383	85	0
384	85	0
385	85	0
386	86	0
387	219	0
388	215	0
389	213	0
390	214	0
391	214	0
392	214	0
393	214	0
394	214	0
395	214	0
396	214	0
397	214	0
398	213	0
399	213	0
400	214	0
401	214	0
402	214	0
403	214	0
404	214	0
405	214	0
406	214	0
407	213	0
408	213	0
409	214	0
410	213	0
411	214	0
412	214	0
413	215	0
414	214	0
415	214	0
416	214	0
