Oscilloscope data. 
Time step = 50,00 nS
Voltage step = 31,25 mV
Zero level = 128

N 	Smpl.	Trig

0	85	0
1	85	0
2	86	0
3	85	0
4	86	0
5	85	0
6	86	0
7	85	0
8	85	0
9	85	0
10	85	0
11	85	0
12	86	0
13	85	0
14	86	0
15	86	0
16	85	0
17	86	0
18	86	0
19	86	0
20	86	0
21	85	0
22	86	0
23	85	0
24	86	0
25	85	0
26	86	0
27	86	0
28	85	0
29	86	0
30	86	0
31	86	0
32	85	0
33	86	0
34	86	0
35	85	0
36	85	0
37	86	0
38	86	0
39	85	0
40	86	0
41	85	0
42	86	0
43	86	0
44	86	0
45	85	0
46	86	0
47	86	0
48	85	0
49	86	0
50	86	0
51	86	0
52	86	0
53	86	0
54	85	0
55	85	0
56	86	0
57	86	0
58	86	0
59	117	0
60	214	0
61	214	0
62	214	0
63	214	0
64	213	0
65	214	0
66	214	0
67	214	0
68	214	0
69	214	0
70	214	0
71	213	0
72	213	0
73	213	0
74	214	0
75	214	0
76	214	0
77	214	0
78	214	0
79	214	0
80	214	0
81	213	0
82	214	0
83	213	0
84	213	0
85	214	0
86	214	0
87	213	0
88	214	0
89	214	0
90	214	0
91	214	0
92	214	0
93	214	0
94	214	0
95	213	0
96	213	0
97	214	0
98	214	0
99	214	0
100	214	0
101	214	0
102	214	0
103	213	0
104	214	0
105	214	0
106	213	0
107	214	0
108	214	0
109	214	0
110	214	0
111	214	0
112	214	0
113	214	0
114	214	0
115	213	0
116	214	0
117	214	0
118	214	0
119	180	0
120	85	0
121	86	0
122	86	0
123	85	0
124	85	0
125	85	0
126	85	0
127	85	0
128	85	0
129	86	0
130	85	0
131	85	0
132	86	0
133	85	0
134	85	0
135	86	0
136	86	0
137	85	0
138	85	0
139	86	0
140	85	0
141	85	0
142	86	0
143	85	0
144	86	0
145	85	0
146	86	0
147	85	0
148	86	0
149	85	0
150	86	0
151	85	0
152	85	0
153	85	0
154	85	0
155	85	0
156	86	0
157	85	0
158	86	0
159	85	0
160	85	0
161	86	0
162	85	0
163	86	0
164	85	0
165	86	0
166	86	0
167	86	0
168	85	0
169	85	0
170	85	0
171	85	0
172	85	0
173	86	0
