Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 128

N 	Smpl.	Trig

0	191	0
1	96	0
2	113	0
3	183	0
4	66	0
5	161	0
6	144	0
7	73	0
8	191	0
9	95	0
10	113	0
11	183	0
12	66	0
13	161	0
14	144	0
15	73	0
16	191	0
17	95	0
18	113	0
19	183	0
20	67	0
21	160	0
22	144	0
23	73	0
24	191	0
25	96	0
26	113	0
27	183	0
28	66	0
29	161	0
30	144	0
31	73	0
32	191	0
33	96	0
34	113	0
35	183	0
36	66	0
37	161	0
38	144	0
39	73	0
40	191	0
41	96	0
42	113	0
43	183	0
44	66	0
45	161	0
46	144	0
47	73	0
48	191	0
49	96	0
50	112	0
51	183	0
52	66	0
53	161	0
54	144	0
55	73	0
56	191	0
57	96	0
58	113	0
59	183	0
60	67	0
61	161	0
62	144	0
63	73	0
64	191	0
65	96	0
66	112	0
67	183	0
68	66	0
69	161	0
70	144	0
71	73	0
72	191	0
73	95	0
74	113	0
75	183	0
76	67	0
77	161	0
78	144	0
79	73	0
80	190	0
81	96	0
82	112	0
83	183	0
84	67	0
85	161	0
86	144	0
87	73	0
88	191	0
89	96	0
90	113	0
91	183	0
92	67	0
93	161	0
94	144	0
95	73	0
96	191	0
97	96	0
98	114	0
99	183	0
100	66	0
101	161	0
102	144	0
103	73	0
104	191	0
105	96	0
106	113	0
107	183	0
108	66	0
109	161	0
110	144	0
111	73	0
112	191	0
113	95	0
114	113	0
115	183	0
116	66	0
117	161	0
118	144	0
119	72	0
120	191	0
121	96	0
122	113	0
123	183	0
124	67	0
125	161	0
126	144	0
127	73	0
128	191	0
129	95	0
130	113	0
131	183	0
132	67	0
133	161	0
134	144	0
135	73	0
136	191	0
137	96	0
138	113	0
139	183	0
140	66	0
141	161	0
142	144	0
143	73	0
144	191	0
145	96	0
146	113	0
147	183	0
148	66	0
149	161	0
150	144	0
151	73	0
152	191	0
153	96	0
154	113	0
155	183	0
156	66	0
157	161	0
158	144	0
159	73	0
160	191	0
161	95	0
162	112	0
163	183	0
164	66	0
165	161	0
166	144	0
167	73	0
168	191	0
169	96	0
170	113	0
171	183	0
172	66	0
173	161	0
174	144	0
175	73	0
176	191	0
177	96	0
178	114	0
179	183	0
180	66	0
181	161	0
182	144	0
183	73	0
184	191	0
185	96	0
186	114	0
187	183	0
188	66	0
189	161	0
190	144	0
191	73	0
192	191	0
193	96	0
194	113	0
195	183	0
196	66	0
197	161	0
198	144	0
199	73	0
200	191	0
201	96	0
202	113	0
203	183	0
204	66	0
205	161	0
206	144	0
207	73	0
208	191	0
209	95	0
210	113	0
211	183	0
212	67	0
213	161	0
214	144	0
215	73	0
216	191	0
217	96	0
218	114	0
219	183	0
220	67	0
